"section","item","fbsql","spark","match","note"
"model_estimate","(Intercept)",-12.1071,-12.812,FALSE,"expected difference: RFormula uses the least-frequent level ('Other') as reference, not R's first sorted level ('F'); same model under reparameterization (verified numerically; predictions identical)"
"model_estimate","age",0.2981,0.2981,TRUE,""
"model_estimate","genderF",,0.7049,FALSE,"expected difference: RFormula uses the least-frequent level ('Other') as reference, not R's first sorted level ('F'); same model under reparameterization (verified numerically; predictions identical)"
"model_estimate","genderM",-0.4305,0.2744,FALSE,"expected difference: RFormula uses the least-frequent level ('Other') as reference, not R's first sorted level ('F'); same model under reparameterization (verified numerically; predictions identical)"
"model_estimate","genderOther",-0.7049,,FALSE,"expected difference: RFormula uses the least-frequent level ('Other') as reference, not R's first sorted level ('F'); same model under reparameterization (verified numerically; predictions identical)"
"model_std_error","(Intercept)",7.1895,7.4602,FALSE,"expected difference: standard errors are parameterization-dependent and not directly comparable across reference levels"
"model_std_error","age",0.1669,0.1669,TRUE,""
"model_std_error","genderF",,2.8735,FALSE,"expected difference: standard errors are parameterization-dependent and not directly comparable across reference levels"
"model_std_error","genderM",2.5525,2.5099,FALSE,"expected difference: standard errors are parameterization-dependent and not directly comparable across reference levels"
"model_std_error","genderOther",2.8735,,FALSE,"expected difference: standard errors are parameterization-dependent and not directly comparable across reference levels"
"prediction","c101",0.0406,0.0406,TRUE,""
"prediction","c102",0.9794,0.9794,TRUE,""
"prediction","c103",0.428,0.428,TRUE,""
"prediction","c104",,,TRUE,""
"prediction","c105",,,TRUE,""
