aspect,fbsql,postgresml,notes
installation,PostgreSQL extension (control file + PGXS; requires plr),PostgreSQL extension (Rust/pgrx + bundled Python ML runtime); distributed as a ~15GB docker image with the extension preinstalled,both live inside PostgreSQL; verified with 2.7.12 on the bundled PostgreSQL 15
fit_api,fbsql.fit_glm(relation SQL string; R formula; family) returning a relation,"pgml.train(project_name; task; relation_name; y_column_name; ...) returning a one-row status (project, task, algorithm, deployed)",pgml snapshots the named table; every non-label column becomes a feature; automatic 25% test split (test_sampling: last) and metric computation; the best model is auto-deployed
model_specification,R formula + statistical family/link,task name ('classification'/'regression') + algorithm name ('linear'/'xgboost'/...),no family/link concept; no standard errors / p-values / CIs anywhere -- metrics are ML metrics (roc_auc; f1; accuracy)
predict_api,fbsql.predict_glm(relation; model; on_new_levels) returning the scored relation,pgml.predict(project_name; ARRAY[features]) scalar per row; pgml.predict_proba() returns a per-class probability array; ROW(...) form also accepted,prediction references the PROJECT NAME whose currently deployed model is used -- an indirection through mutable state rather than a value passed by the caller
prediction_output,probability column <response>_predicted (R type='response' parity),class label (0/1) from pgml.predict; probabilities only via separate predict_proba,observed: c101 -> 0; c102 -> 1; c103 -> 1
model_storage,single relation returned to the caller (term rows + metadata jsonb),serialized binary model (686 bytes for the example) in pgml.files; catalog tables pgml.projects / models / snapshots / files / deployments,the model never exists as a user-visible relation
metadata_representation,metadata jsonb column inside the returned relation,pgml.snapshots stores per-column type / preprocessor / statistics / category mappings in system catalog tables,structured metadata exists but lives in pgml's catalogs rather than travelling with a model relation
factor_handling,automatic (glm conventions: treatment contrasts; xlevels stored),text columns accepted; default encoder 'native' label-encodes to ordinal reals (observed: F=1.0; M=2.0; Other=3.0; __NULL__=0.0) -- imposes an artificial ordering in linear models; other encoders configurable via the preprocess argument (not verified),key statistical-semantics difference from treatment contrasts
null_handling,Complete Case Analysis at fit (n_obs/n_used/n_dropped); NULL predictors predict NULL,fit-time imputation policy per column (default impute: error); pgml.predict raises 'ERROR: array contains NULL' on NULL features (hard error; observed),the caller must guard NULL rows by hand (CASE WHEN ... IS NOT NULL)
relation_in,yes (any SQL string defining a relation),partial (table/view name string; no inline subquery),
relation_out,yes (one relation from a set-returning function),no (train returns a status row and writes catalog state; predict is a scalar function per row),
named_arguments,yes (name => value),yes (documented usage is name => value),
homogeneous_array_constraint,not applicable (relation columns keep their SQL types),pgml.predict feature array is a homogeneous REAL array; mixed-type rows require the ROW(...) form,
reproducibility,deterministic; R parity locked by pg_regress,train/test split is deterministic (test_sampling: last) but no exposed random seed for the underlying sklearn estimators; training aborts if the test split contains a single class (observed); predictions depend on mutable deployment state,
novel_level_at_predict,on_new_levels => 'error' (default) or 'na',not verified (categorical predict via ROW not exercised),TBD
